"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Flna",86.8940336882123,-0.463145102297359,0.202233005874678,-2.29015585410606,0.0220122835042069,0.100848077715606
"Psmc6",91.3782365311869,-0.460920357989222,0.201384730304959,-2.28875524619591,0.022093577103087,0.101111446074149
"Tm2d2",125.745092065128,-0.418479504221141,0.182876034452789,-2.28832337420995,0.0221186962858724,0.101117441470506
"Glul",201.996673357686,-0.337814744751114,0.147781781138486,-2.28590251212731,0.022259962458691,0.101544640775575
"Plekha1",43.6446563800424,0.67054220396514,0.293332033062483,2.28594946472248,0.0222572151595052,0.101544640775575
"Trem2",937.294446701289,-0.229179256742344,0.100383476156834,-2.28303766233683,0.0224281499705448,0.102202095412987
"D8Ertd738e",324.959884904117,-0.284243033860643,0.124601401561919,-2.28121859222741,0.0225355151110936,0.10258127832456
"Ythdc1",179.172776706074,-0.346658506851007,0.152357918990501,-2.27529037642355,0.0228885163640208,0.104076583509632
"Pim1",463.723615875124,-0.25476258080705,0.112020846918298,-2.27424258801453,0.0229514049389597,0.1042509270329
"Msl1",71.8744935302055,-0.507669990387906,0.22366550293442,-2.26977331652596,0.0232213403575666,0.105364350960027
"Rsrc2",156.445754174434,-0.369712241309618,0.162972423774476,-2.26855705245713,0.0232952758350284,0.105587018646068
"Arpc5",406.083192684712,-0.265245481532674,0.116975000394285,-2.26753990714783,0.0233572639169072,0.10569891195337
"Sod2",122.980538812094,-0.394566480121626,0.174022097595934,-2.26733550263128,0.0233697382444583,0.10569891195337
"Plekha2",50.7384811109197,0.613963821662076,0.271114006277799,2.26459647028702,0.0235374537277514,0.106231207206971
"Sfr1",173.704578237669,-0.374381404849855,0.165299855818429,-2.26486225893076,0.0235211334146814,0.106231207206971
"Rac1",373.180767012495,-0.257317005548806,0.113674856803833,-2.2636228695045,0.0235973200346133,0.106388342024419
"Snrpb",214.082306468316,-0.34418298399324,0.152200508014491,-2.26137868055257,0.02373581778731,0.106831279802825
"Renbp",65.6981814723025,0.530419911407513,0.234572845577661,2.26121616976295,0.0237458742957068,0.106831279802825
"Rpp21",68.0982729239033,-0.54375307346692,0.240606363938189,-2.25992806078316,0.0238257160258624,0.107077053927871
"Pkig",127.913700199304,-0.388715002347503,0.172036823686032,-2.25948720755801,0.0238530951651049,0.10708678135962
"Ndufb2",82.3747724953471,-0.479520486751866,0.212281847735192,-2.25888596631229,0.0238904791706252,0.107094061300048
"Vamp8",446.341261498357,-0.24993646642619,0.11065744537558,-2.25865024786978,0.0239051495437828,0.107094061300048
"Fcrls",861.709364572105,-0.290250281735251,0.128663063002361,-2.25589438773056,0.0240772460957644,0.107751384793163
"Cct2",153.879300627323,-0.377476094779781,0.167426127818354,-2.25458295965201,0.0241595180406546,0.108005761177537
"Hspe1",238.277252516506,-0.324587748751588,0.144033086451264,-2.25356379390937,0.0242236232161911,0.108109445035709
"Malt1",71.531765568151,0.507879750347557,0.225383249067369,2.25340504429301,0.024233621773957,0.108109445035709
"Mpc2",130.417509225195,-0.389524390337505,0.17296703500933,-2.25201519073559,0.024321312066575,0.108386791549574
"Gtf3a",36.7325052558935,0.673441582038634,0.299367958605045,2.24954462453713,0.0244778670403789,0.108787778280779
"Gmfg",254.177149284408,-0.292208751247282,0.129883618243886,-2.24977372203008,0.0244633129350847,0.108787778280779
"Ifi35",63.361937899567,0.543051081442957,0.241422235046019,2.24938304187037,0.024488136575565,0.108787778280779
